	Аахен		Аахенъ
 	рученька		рученька	 
 	ручечка		ручечка	 
 	ручища		ручища, въ ручищѣ, ручищей	 
 	ручное		ручное	 
 	ручные		ручные, ручныя	 
 	ручонка		ручонка	 
 	ручьём		ручьёмъ	 
 	рыба		рыба, о рыбѣ
 	рыбак		рыбакъ, о рыбакѣ	 
 	рыбалка		рыбалка, на рыбалкѣ	 
 	рыбацкий		рыбацкій, рыбацкаго, рыбацкое	 
 	рыбец		рыбецъ	 
 	рыбёшка		рыбёшка	 
 	рыбий		рыбій, рыбьяго	 
 	рыбка		рыбка, о рыбкѣ	 
 	рыбление		рыбленіе льна	 
 	рыбного		рыбнаго	 
 	рыбное		рыбное, рыбнаго	 
 	рыбные		рыбные, рыбныя	 
 	рыбный		рыбный, рыбнаго	 
 	рыбоподъёмный		рыбоподъёмный	 
 	рыбоприёмный		рыбопріёмный	 
 	рыбьего		рыбьяго	 
 	рыгнёшь		рыгнёшь	 
 	рыдает		рыдаетъ, рыдаете, рыдаемъ, рыдаешь	 
 	рыжеволосый		рыжеволосый	 
 	рыжего		рыжаго	 
 	рыжее		рыжее, но рыжѣе	 
 	рыженький		рыженькій, рыжѣть	 
 	рыжеть		рыжѣть, рыженькій	 
 	рыжешёрстый		рыжешёрстый	 
 	рыжие		рыжіе, рыжія	 
 	рыжий		рыжій, на рыжемъ	 
 	рыкнёшь		рыкнёшь	 
 	Рылеев		Рылѣевъ	 
 	рыльце		рыльце	 
 	рынок		рынокъ, на рынкѣ	 
 	рыночное		рыночное, рыночнаго	 
 	рыночные		рыночные, рыночныя	 
 	рысёнок		рысёнокъ	 
 	рытьё		рытьё, рытьёмъ	 
 	рыхлённый		рыхлённый	 
 	рыцарем		рыцаремъ	 
 	рыцарское		рыцарское	 
 	рыцарские		рыцарскіе, рыцарскія	 
 	рыцарский		рыцарскій, рыцарскаго	 
 	рыщет		рыщетъ	 
 	рьяный		рьяный, рьянаго
 	Рюккерт		Рюккертъ
 	Рюмелин		Рюмелинъ	 
 	рюшевый		рюшевый	 
 	рябенький		рябенькій
 	рябец		рябецъ	 
 	рябина		рябина	 
 	рябчик		рябчикъ	 
 	ряд		рядъ — подъ рядъ, на ряду...	 
 	рядно		рядно, веретье	 
 	ряженье		ряженье	 
 	ряженый		ряженый	 
 	рясофор		рясофоръ
 	Сабанеев		Сабанѣевъ
 	сабеизм		сабеизмъ	 
 	сабельный		сабельный	 
 	саван		саванъ	 
 	Саваоф		Саваоѳъ	 
 	Савва		Савва	 
 	Савватий		Савватій	 
 	Савел		Савелъ	 
 	Савелий		Савелій и Саверій	 
 	Саверий		Саверій	 
 	саврасый		саврасый	 
 	саданёт		саданётъ	 
 	саддукеи		саддукеи	 
 	садитесь		садитесь	 
 	саечник		саечникъ	 
 	саепёк		саепёкъ	 
 	саженец		саженецъ	 
 	сажёнки		сажёнки	 
 	саженный		саженный, саженный	 
 	сажённый		сажённый и саженный	 
 	сажень		сажень и сажень, род. п. мн. ч. саженей и саженъ	 
 	сайт		сайтъ, на сайтѣ	 
 	саквояж		саквояжъ	 
 	сакелларий		сакелларій	 
 	саккос		саккосъ	 
 	сакраменталии		сакраменталіи	 
 	сакраментальный		сакраментальный	 
 	Сакраменто		Сакраменто	 
 	Саксен-Альтенбург		Саксенъ-Альтенбургъ	 
 	Саксен-Веймар-Эйзенах		Саксенъ-Веймаръ-Эйзенахъ	 
 	Саксен-Мейнинген		Саксенъ-Мейнингенъ	 
 	Саксония		Саксонія	 
 	Сакия-Муни		Сакія-Муни	 
 	салазки		салазки	 
 	салат		салатъ	 
 	Сале		Сале	 
 	Салем		Салемъ	 
 	саленг		саленгъ	 
 	салеп		салепъ	 
 	Салерно		Салерно	 
 	Салиас-де-Турнемир		Саліасъ-де-Турнемиръ	 
 	салии		саліи	 
 	салициловый		салициловый	 
 	Саллюстий		Саллюстій	 
 	сало		сало, на салѣ	 
 	салон		салонъ, въ салонѣ	 
 	салоп		салопъ, въ салопѣ	 
 	салфетка		салфетка, на салфеткѣ	 
 	Сальери		Сальери	 
 	сальмонеллёз		сальмонеллёзъ	 
 	сальсапарель		сальсапарель, сарсапарель	 
 	сальтарелло		сальтарелло	 
 	сальто-мортале		сальтомортале, сальто-мортале	 
 	саманные		саманные, саманныя, изъ необожжённой глины съ примѣсью соломы и навоза	 
 	самаритяне		самаритяне, самаряне	 
 	Самария		Самарія	 
 	сам-друг		самъ-другъ	 
 	Самей		Самей	 
 	самец		самецъ	 
 	самиель		саміель	 
 	самовар		самоваръ	 
 	самовластие		самовластіе	 
 	самовлюблённый		самовлюблённый	 
 	самовозгорание		самовозгораніе	 
 	самоволие		самоволіе	 
 	самого		самого, но самаго	 
 	самогон		самогонъ, въ самогонѣ	 
 	самогонного		самогоннаго	 
 	самогоноварение		самогоновареніе	 
 	самогонокурение		самогонокуреніе	 
 	самодвижущийся		самодвижущійся, самодвижущагося	 
 	самодельный		самодѣльный	 
 	самодержавие		самодержавіе	 
 	самодержец		самодержецъ	 
 	самодеятельность		самодѣятельность	 
 	самоеды		самоѣды	 
 	самое		самое	 
 	самое то		самое-то	 
 	самозванец		самозванецъ	 
 	самозваный		самозваный	 
 	самокрещенцы		самокрещенцы	 
 	самокрутка		самокрутка	 
 	самолёт		самолётъ	 
 	самолюбие		самолюбіе	 
 	самомнение		самомнѣніе	 
 	самонадеянность		самонадѣянность	 
 	самонадеянный		самонадѣянный	 
 	самонапряжённый		самонапряжённый	 
 	самоопылённый		самоопылённый	 
 	самоотверженный		самоотверженный	 
 	самоотречение		самоотреченіе	 
 	самоотрешённый		самоотрѣшённый	 
 	самоотчёт		самоотчётъ	 
 	самооценка		самооцѣнка	 
 	самоподъёмный		самоподъёмный	 
 	самопровозглашённый		самопровозглашённый	 
 	саморасчёт		саморасчётъ	 
 	самосёл		самосёлъ	 
 	самосовершенствование		самосовершенствованіе	 
 	самосожжение		самосожженіе	 
 	самосопряжённый		самосопряжённый	 
 	самостоятельно		самостоятельно	 
 	самостоятельного		самостоятельнаго	 
 	самостоятельное		самостоятельное	 
 	самостоятельность		самостоятельность	 
 	самостоятельные		самостоятельные, самостоятельныя	 
 	самостоятельный		самостоятельный, самостоятельнаго	 
 	самострел		самострѣлъ	 
 	самость		самость	 
 	самотёк		самотёкъ, на самотёкѣ	 
 	самотёчный		самотёчный	 
 	самоубийца		самоубійца	 
 	самоуверенность		самоувѣренность	 
 	самоуглублённый		самоуглублённый	 
 	самоудовлетворённый		самоудовлетворённый	 
 	Самофракия		Самоѳракія	 
 	самочувствие		самочувствіе	 
 	самоцвет		самоцвѣтъ	 
 	самоценное		самоцѣнное	 
 	сам по себе		самъ по себѣ	 
 	сам-сём		самъ-сёмъ	 
 	Самсон		Самсонъ и Сампсонъ	 
 	саму		самоё	 
 	сам-шёст		самъ-шостъ и самъ-шёстъ	 
 	самые		самые, самыя	 
 	самый		самый, самое, самаго	 
 	санаторий		санаторій	 
 	санаторные		санаторные, санаторныя	 
 	санаторный		санаторный, санаторнаго	 
 	санаторное		санаторное	 
 	Санкт-Галлен		Санктъ-Галленъ	 
 	Санкт-Петербург		Санктъ-Петербургъ, въ Санктъ-Петербургѣ; также Санктпетербургъ, С.-Петербургъ, СПБ.	 
 	санкт-петербургский		санктъ-петербургскій	 
 	санктпетербурженка		санктпетербурженка	 
 	санктпетербуржец		санктпетербуржецъ	 
 	санкционированного		санкціонированнаго	 
 	санкционированное		санкціонированное	 
 	санкционированные		санкціонированные, санкціонированныя	 
 	санкционировать		санкціонировать	 
 	санкция		санкція, санкціи	 
 	Сантандер		Сантандеръ	 
 	Сантер		Сантеръ	 
 	сантименты		сантименты	 
 	сантиметр		сантиметръ	 
 	Сапега		Сапѣга	 
 	сапёр		сапёръ	 
 	сапоги-скороходы		сапоги-скороходы	 
 	сапожище		сапожище	 
 	сапожок		сапожокъ	 
 	сапфир		сапфиръ и сафиръ	 
 	Сараево		Сараево	 
 	сараец		сараецъ	 
 	сараище		сараище	 
 	сарай		сарай, въ сараѣ, сараевъ, за сараемъ	 
 	Сарасате		Сарасате	 
 	Саратов		Саратовъ, въ Саратовѣ	 
 	сарафан		сарафанъ	 
 	сарацин		сарацынъ	 
 	сардель		сардель	 
 	сарделька		сарделька	 
 	Сардиния		Сардинія	 
 	сардонический		сардоническій	 
 	Сарепта		Сарепта	 
 	сарказм		сарказмъ	 
 	саркастический		саркастическій	 
 	саркофаг		саркофагъ	 
 	Сарматия		Сарматія	 
 	Сарпедон		Сарпедонъ	 
 	Саскачеван		Саскачеванъ	 
 	сатана		сатана,	 
 	сатанёнок		сатанёнокъ	 
 	сателлит		сателлитъ	 
 	сатинет		сатинетъ	 
 	сатинирование		сатинированіе	 
 	сатирический		сатирическій	 
 	сатириаз		сатиріазъ, сатиріазисъ	 
 	сатисфакция		сатисфакція	 
 	сатрап		сатрапъ	 
 	сатурация		сатурація	 
 	сафьян		сафьянъ	 
 	сачканёт		сачканётъ	 
 	Саша		Саша, Сашей, къ Сашѣ	 
 	саше		саше	 
 	Сашенька		Сашенька	 
 	сбег		сбѣгъ
 	сбегать		сбѣгать	 
 	сбежать		сбѣжать, сбѣжавшій	 
 	сбейте		сбейте	 
 	сберёг		сберёгъ	 
 	сберегательный		сберегательный	 
 	сберегать		сберегать	 
 	сберёгший		сберёгшій	 
 	сбережения		сбереженія, сбереженій	 
 	сбережённый		сбережённый, но бережёный	 
 	сберечь		сберечь	 
 	сбитенщик		сбитенщикъ	 
 	сбитень		сбитень, збитень	 
 	сблёвывать		сблёвывать	 
 	сближение		сближеніе	 
 	сбоку		сбоку, но съ боку на бокъ	 
 	сболтнёшь		сболтнёшь	 
 	сбор		сборъ, въ сборѣ	 
 	сборённый		сборённый	 
 	сборище		сборище	 
 	сборник		сборникъ, въ сборникѣ	 
 	сборничек		сборничекъ	 
 	сборное		сборное	 
 	сборные		сборные, сборныя	 
 	сбредёт		сбредётъ	 
 	сбреешь		сбреешь	 
 	сбрендить		сбрендить	 
 	сбрестись		сбрестись, сбредусь, сбредёшься	 
 	сбрехнёт		сбрехнётъ	 
 	сбрехнуть		сбрехнуть	 
 	сброшенный		сброшенный	 
 	сбруя		сбруя и збруя, сбруей	 
 	сбудется		сбудется	 
 	с бухты-барахты		сбухты-барахты	 
 	свадебка		свадебка, на свадебкѣ
 	свадебное		свадебное	 
 	свадебные		свадебные, свадебныя	 
 	свадебный		свадебный, свадебная, свадебнаго, свадебныхъ	 
 	свадьба		свадьба, на свадьбѣ	 
 	сваечка		сваечка	 
 	сваи		сваи, сваей, свая, на сваѣ	 
 	сваленный		сваленный	 
 	свалка		свалка, на свалкѣ	 
 	Сваммердам		Сваммердамъ	 
 	Сванетия		Сванетія	 
 	сварганенный		сварганенный, сварганеннаго, сварганенное	 
 	сваренный		сваренный, свареннаго, сваренное	 
 	сватанье		сватанье	 
 	Свеаборг		Свеаборгъ	 
 	Сведенборг		Сведенборгъ	 
 	сведать		свѣдать, свѣдаетъ, свѣдаете, свѣдаемъ, свѣдаешь, свѣдаютъ	 
 	сведение		свѣдѣніе, но сведеніе счетовъ	 
 	сведения		свѣдѣнія, но изъ-за сведенія счетовъ	 
 	сведённый		сведённый, сведённаго	 
 	сведёшь		сведёшь, сведёмъ, сведётъ, сведёте, сведутъ	 
 	Сведомский		Свѣдомскій	 
 	сведущий		свѣдущій, свѣдущаго	 
 	свеж		свѣжъ, свѣжа, свѣжо, свѣжи	 
 	свежайший		свѣжайшій, свѣжайшаго	 
 	свежак		свѣжакъ	 
 	свежатина		свѣжатина	 
 	свежатинка		свѣжатинка	 
 	свежачка		свѣжачка	 
 	свежачок		свѣжачокъ	 
 	свежая		свѣжая, свѣжей	 
 	свежёванный		свѣжёванный	 
 	свежевать		свѣжевать	 
 	свежего		свѣжаго	 
 	свежее		свѣжее, свѣжѣе	 
 	свежеет		свѣжѣетъ	 
 	свежеиспечённый		свѣжеиспечённый	 
 	свежей		свѣжей, свѣжѣй	 
 	свеженький		свѣженькій	 
 	свежеобтёсанный		свѣжеобтёсанный	 
 	свежеосаждённый		свѣжеосаждённый	 
 	свежепобелённый		свѣжепобѣлённый	 
 	свежесть		свѣжесть	 
 	свежеть		свѣжѣть, не свѣжать!; но свѣжить	 
 	свежёхонький		свѣжёхонькій	 
 	свежие		свѣжіе, свѣжія	 
 	свежий		свѣжій, свѣжаго, свѣжимъ, свѣжихъ, свѣжими	 
 	свежить		свѣжить; но свѣжѣть, не свѣжать!	 
 	свежо		свѣжо	 
 	свезение		свезеніе	 
 	свезённый		свезённый	 
 	свезёшь		свезёшь	 
 	свезти		свезти	 
 	свёкла		свёкла	 
 	свекловичный		свекловичный	 
 	свекловица		свекловица	 
 	свёкор		свёкоръ, но свёкра	 
 	свекровь		свекровь	 
 	свёл		свёлъ	 
 	Свенельд		Свѣнельдъ	 
 	Свента		Свента	 
 	Свенцяны		Свенцяны	 
 	свербёж		свербёжъ	 
 	свербеть		свербѣть	 
 	свергать		свергать	 
 	свергнуть		свергнуть	 
 	Свердруп		Свердрупъ	 
 	свержение		сверженіе	 
 	сверзить		сверзить, свержу, сверзишь	 
 	сверзиться		сверзиться, свержусь, сверзишься	 
 	сверенного		свѣреннаго	 
 	сверенное		свѣренное	 
 	сверенные		свѣренные, свѣренныя	 
 	сверенный		свѣренный, свѣреннаго	 
 	сверить		свѣрить, свѣрю, свѣришься	 
 	свериться		свѣриться, свѣрюсь	 
 	сверка		свѣрка, при свѣркѣ, свѣркой	 
 	сверкает		сверкаетъ, сверкать	 
 	сверкание		сверканіе	 
 	сверкнёт		сверкнётъ	 
 	сверление		сверленіе	 
 	сверлённый		сверлённый	 
 	сверлёный		сверлёный	 
 	сверлить		сверлить	 
 	сверло		сверло	 
 	свернём		свернёмъ	 
 	свернёт		свернётъ	 
 	свернёте		свернёте	 
 	свернётесь		свернётесь	 
 	свернёшь		свернёшь	 
 	свернёшься		свернёшься	 
 	свернут		свернутъ	 
 	свернутся		свернутся	 
 	свернуть		свернуть	 
 	свернуться		свернуться	 
 	свёрнутые		свёрнутые, свёрнутыя	 
 	свёрнутый		свёрнутый	 
 	свёрстан		свёрстанъ	 
 	сверстать		сверстать	 
 	сверстник		сверстникъ	 
 	свёрток		свёртокъ	 
 	свёртывание		свёртываніе	 
 	сверх		сверхъ	 
 	сверхкраткий		сверхъ-краткій	 
 	сверху		сверху	 
 	сверхчувственный		сверхъчувственный	 
 	сверхъёмкий		сверхъёмкій	 
 	сверхъестественный		сверхъестественный, сверхъестественно, сверхъестественное, сверхъестественность	 
 	сверхъяркий		сверхъ-яркій	 
 	сверчок		сверчокъ	 
 	свершается		свершается	 
 	свершаться		свершаться	 
 	свершение		свершеніе, свершенія, свершеній, въ свершеніи	 
 	свершённый		свершённый, свершёнъ, свершена, свершено	 
 	свершилось		свершилось	 
 	свершить		свершить	 
 	свершиться		свершиться	 
 	сверяет		свѣряетъ, свѣряемъ, свѣряешь, свѣряютъ	 
 	сверяетесь		свѣряетесь	 
 	сверяется		свѣряется, свѣряемся, свѣряешься, свѣряются	 
 	сверять		свѣрять	 
 	сверяться		свѣряться, свѣряется	 
 	свесить		свѣсить	 
 	свести		свести, сведутъ, сведётъ	 
 	свет		свѣтъ, въ свѣтѣ	 
 	светает		свѣтаетъ	 
 	светать		свѣтать	 
 	светёлка		свѣтёлка, свѣтлица	 
 	светец		свѣтецъ	 
 	светик		свѣтикъ	 
 	светило		свѣтило	 
 	светильник		свѣтильникъ	 
 	светильный		свѣтильный газъ	 
 	светить		свѣтить, но святить	 
 	Светлана		Свѣтлана	 
 	светлее		свѣтлѣе, свѣтлѣй	 
 	светлей		свѣтлѣй	 
 	светлейший		свѣтлѣйшій	 
 	светлеть		свѣтлѣть	 
 	светлица		свѣтлица, свѣтёлка	 
 	светло		свѣтло, свѣтло	 
 	светлого		свѣтлаго	 
 	светлое		свѣтлое	 
 	светлоокий		свѣтлоокій	 
 	светлость		свѣтлость	 
 	светлые		свѣтлые, свѣтлыя	 
 	светлый		свѣтлый, свѣтлаго	 
 	светляк		свѣтлякъ	 
 	Светляков		Свѣтляковъ	 
 	светлячок		свѣтлячокъ	 
 	светобоязнь		свѣтобоязнь	 
 	светозарный		свѣтозарный	 
 	светолечение		свѣтолѣченіе	 
 	Светоний		Светоній	 
 	светоноски		свѣтоноски	 
 	светопись		свѣтопись	 
 	светопреставление		свѣтопреставленіе	 
 	светорассеяние		свѣторазсѣяніе	 
 	светотень		свѣтотѣнь	 
 	светофор		свѣтофоръ, на свѣтофорѣ, свѣтофорное	 
 	светоч		свѣточъ	 
 	светские		свѣтскіе, свѣтскія	 
 	светский		свѣтскій, свѣтская	 
 	светского		свѣтскаго	 
 	светское		свѣтское	 
 	свеча		свѣча, при свѣчѣ	 
 	свечей		свѣчей и свѣчъ	 
 	Свечин		Свѣчинъ	 
 	свечка		свѣчка, къ свѣчкѣ	 
 	свечной		свѣчной, свѣчного	 
 	свешенный		свѣшенный	 
 	свеять		свѣять	 
 	свидетель		свидѣтель	 
 	свидетельство		свидѣтельство	 
 	свидетельствовать		свидѣтельствовать	 
 	свидеться		свидѣться	 
 	с виду		съ виду	 
 	свилеватый		свилеватый	 
 	Свинемюнде		Свинемюнде	 
 	свинец		свинецъ	 
 	свинокопчёности		свинокопчёности	 
 	свинченный		свинченный	 
 	свинья		свинья	 
 	свинья свиньёй		свинья-свиньёй	 
 	свиные		свиные, свиныя	 
 	свирель		свирѣль	 
 	свиреп		свирѣпъ, свирѣпа, свирѣпы, свирѣпо	 
 	свирепеет		свирѣпѣетъ	 
 	свирепеть		свирѣпѣть	 
 	свирепо		свирѣпо	 
 	свирепого		свирѣпаго	 
 	свирепое		свирѣпое	 
 	свирепость		свирѣпость	 
 	свирепство		свирѣпство	 
 	свирепствовать		свирѣпствовать, свирѣпствуетъ	 
 	свирепые		свирѣпые, свирѣпыя	 
 	свирепый		свирѣпый, свирѣпаго	 
 	свиристель		свиристель	 
 	свиснуть		свиснуть, но свистнуть	 
 	свистел		свистѣлъ, свистѣла, свистѣли, свистѣло	 
 	свистелка		свистѣлка	 
 	свистеть		свистѣть	 
 	свистнуть		свистнуть	 
 	свита		свита, въ свитѣ	 
 	свитер		свитеръ, въ свитерѣ	 
 	свитие		свитіе	 
 	свихнёмся		свихнёмся	 
 	свищет		свищетъ	 
 	Свияга		Свіяга	 
 	Свияжск		Свіяжскъ	 
 	свобода		свобода, на свободѣ	 
 	свободен		свободенъ	 
 	свободнее		свободнѣе	 
 	свободное		свободное	 
 	свободнорождённый		свободнорождённый	 
 	свободные		свободные, свободныя	 
 	свободный		свободный, свободнаго	 
 	свободолюбие		свободолюбіе	 
 	свободомыслие		свободомысліе	 
 	своё		своё, своего, своей, своему, своёмъ	 
 	своеволие		своеволіе	 
 	своевременный		своевременный	 
 	своего		своего	 
 	своей		своей	 
 	своекорыстный		своекорыстный	 
 	своём		своёмъ	 
 	своему		своему	 
 	своенравный		своенравный	 
 	своеобразное		своеобразное	 
 	своеобразный		своеобразный	 
 	своею		своею	 
 	свой		свой, своё, своего, своей, своему, своёмъ	 
 	свойственник		свойственникъ	 
 	свойственный		свойственный	 
 	сволочённый		сволочённый	 
 	свороченный		свороченный	 
 	свояк		своякъ	 
 	свояченица		свояченица и своячиница	 
 	свысока		свысока	 
 	свыше		свыше	 
 	связан		связанъ	 
 	связанный		связанный	 
 	связующий		связующій	 
 	святейшество		святѣйшество	 
 	святейшего		святѣйшаго	 
 	святейшее		святѣйшее	 
 	святейшие		святѣйшіе, святѣйшія	 
 	святейший		святѣйшій, святѣйшаго, святѣйшему	 
 	святилище		святилище	 
 	святитель		святитель	 
 	святить		святить, но свѣтить	 
 	святого		святого, цepк. святаго	 
 	Святогор		Святогоръ	 
 	святой		святой, святого	 
 	Святополк		Святополкъ	 
 	Святослав		Святославъ	 
 	святотатец		святотатецъ, святотатцемъ, о святотатцѣ	 
 	Свято-Троицкая Лавра		Свято-Троицкая Лавра	 
 	святошество		святошество	 
 	святцев		святцевъ	 
 	святые		святые, святыя	 
 	святые места		святыя мѣста	 
 	свячённый		свячённый	 
 	свячёный		свячёный, свячёнъ, свячена	 
 	священие		священіе	 
 	священная		священная	 
 	священник		священникъ	 
 	священнический		священническій	 
 	священнодействие		священнодѣйствіе	 
 	священного		священнаго	 
 	священное		священное	 
 	священномученик		священномученикъ	 
 	священноначалие		священноначаліе	 
 	священнописание		священнописаніе	 
 	священнослужение		священнослуженіе	 
 	священнослужитель		священнослужитель	 
 	священнослужительский		священнослужительскій	 
 	священные		священные, священныя	 
 	священный		священный, священнаго	 
 	священство		священство	 
 	Сгерж		Сгержъ
 	сгибать		сгибать, сгибаетъ, сгибайте	 
 	сгибаться		сгибаться, сгибается, сгибайтесь	 
 	сгибень		сгибень	 
 	сгинуть		сгинуть, сгинемъ, сгиньте, сгинешь, сгинетъ, сгинете	 
 	сглаженный		сглаженный	 
 	сглотнём		сглотнёмъ	 
 	сгниёт		сгніётъ	 
 	сгноённый		сгноённый	 
 	сговорённый		сговорённый	 
 	сгораемый		сгораемый, сгораемаго	 
 	сгорать		сгорать и сгарать	 
 	сгорел		сгорѣлъ	 
 	сгореть		сгорѣть	 
 	сгоряча		сгоряча	 
 	сгребать		сгребать	 
 	сгребённый		сгребённый	 
 	сгрести		сгрести	 
 	сгружённый		сгружённый	 
 	сгрызенный		сгрызенный	 
 	сгрызёт		сгрызётъ	 
 	сгубленный		сгубленный	 
 	сгущение		сгущеніе	 
 	сгущёнка		сгущёнка	 
 	сдавленный		сдавленный
 	сдать		сдать, сдайте	 
 	сдаётся		сдаётся	 
 	сдаёшься		сдаёшься	 
 	сдача		сдача, о сдачѣ	 
 	сдвинет		сдвинетъ, сдвинете	 
 	сдвоенный		сдвоенный, сдвоеннаго	 
 	сделаем		сдѣлаемъ	 
 	сделает		сдѣлаетъ	 
 	сделаешь		сдѣлаешь	 
 	сделайте		сдѣлайте	 
 	сделал		сдѣлалъ, сдѣлала, сдѣлали	 
 	сделалось		сдѣлалось	 
 	сделался		сдѣлался, сдѣлалась, сдѣлались	 
 	сделан		сдѣланъ, сдѣлано, сдѣланы	 
 	сделанного		сдѣланнаго	 
 	сделанное		сдѣланное	 
 	сделанные		сдѣланные, сдѣланныя	 
 	сделанный		сдѣланный, сдѣланнаго	 
 	сделать		сдѣлать	 
 	сделаться		сдѣлаться	 
 	сделаю		сдѣлаю	 
 	сделают		сдѣлаютъ	 
 	сделка		сдѣлка	 
 	сдёргивать		сдёргивать	 
 	сдерёт		сдерётъ	 
 	сдержанность		сдержанность	 
 	сдерживать		сдерживать	 
 	сдёрнет		сдёрнетъ	 
 	сдёрнуть		сдёрнуть	 
 	сдирать		сдирать	 
 	сдобный		сдобный	 
 	сдружённый		сдружённый	 
 	cдует		cдуетъ, cдуется
 	cдуешь		cдуешь, cдуешься	 
 	cдувает		cдуваетъ, cдувается	 
 	cдуваешь		cдуваешь, cдуваешься	 
 	cдувший		cдувшій, cдувшійся	 
 	сдуру		сдуру
 	сдутое		сдутое	 
 	сеанс		сеансъ, на сеансѣ, сеансовый
 	сеансёр		сеансёръ	 
 	Себ		Себъ	 
 	Себак		Себакъ	 
 	Себастиан		Себастіанъ	 
 	себе		себѣ	 
 	Себеж		Себежъ	 
 	себестоимость		себѣстоимость	 
 	себоррея		себоррея	 
 	себя		себя, о себѣ	 
 	себялюбие		себялюбіе	 
 	сев		сѣвъ	 
 	Севастополь		Севастополь, въ Севастополѣ	 
 	Севастьян		Севастіанъ и Савастьянъ	 
 	Севенны		Севенны	 
 	север		сѣверъ, на сѣверѣ	 
 	Север		Северъ	 
 	Северин		Северинъ	 
 	Северн		Севернъ	 
 	Северная Америка		Сѣверная Америка	 
 	Северная Двина		Сѣверная Двина	 
 	Северная Пальмира		Сѣверная Пальмира	 
 	севернее		сѣвернѣе	 
 	северное		сѣверное, по-сѣверному	 
 	северные		сѣверные, сѣверныя	 
 	северный		сѣверный, сѣвернаго	 
 	северо-восток		сѣверо-востокъ	 
 	северо-запад		сѣверо-западъ	 
 	Северьян		Северіанъ	 
 	северяне		сѣверяне, сѣверянинъ	 
 	Северянин		Сѣверянинъ	 
 	Севилья		Севилья	 
 	Севинье		Севинье	 
 	севооборот		сѣвооборотъ	 
 	Севр		Севръ	 
 	севрский		севрскій	 
 	севрюга		севрюга	 
 	Севск		Сѣвскъ	 
 	сегедилья		сегедилья	 
 	Сегедин		Сегединъ	 
 	сегмент		сегментъ	 
 	сегментация		сегментація	 
 	сего		сего — м. р. сей	 
 	сего		сего — ср. р. сіе	 
 	Сеговия		Сеговія	 
 	сегодня		сегодня и сего дня	 
 	сегодняшнее		сегодняшнее	 
 	сегодняшний		сегодняшній и сегоднешній	 
 	Сегюр		Сегюръ	 
 	сед		сѣдъ, сѣда, сѣдо, сѣды и сѣды	 
 	седалище		сѣдалище, сѣдалищный, сѣдалищнаго	 
 	седан		седанъ	 
 	Седан		Седанъ	 
 	седативный		седативный	 
 	седая		сѣдая	 
 	седее		сѣдѣе	 
 	седеет		сѣдѣетъ, сѣдѣете, сѣдѣемъ, сѣдѣешь, сѣдѣютъ	 
 	седёлко		сѣдёлко, сѣдёлка, но сидѣлка	 
 	седельник		сѣдельникъ, сѣдельщикъ	 
 	седельный		сѣдельный	 
 	седельце		сѣдельце	 
 	седенький		сѣденькій	 
 	Седерманланд		Седерманландъ	 
 	седеть		сѣдѣть, сѣдѣлъ, сѣдѣла, сѣдѣли но сидѣть	 
 	седина		сѣдина, сѣдины, по сѣдинѣ	 
 	сединка		сѣдинка	 
 	седины		сѣдины, сѣдинъ	 
 	седлай		сѣдлай	 
 	седлать		сѣдлать	 
 	Седлец		Сѣдлецъ	 
 	седло		сѣдло	 
 	сёдла		сѣдла	 
 	седлать		сѣдлать	 
 	сёдланный		сѣдланный	 
 	седловина		сѣдловина	 
 	сёдлышко		сѣдлышко	 
 	седмица		седмица, не седьмица!	 
 	Седов		Сѣдовъ	 
 	седовласый		сѣдовласый	 
 	седой		сѣдой, сѣдого; кр. ф. сѣдъ, сѣда, сѣдо, сѣды и сѣды	 
 	седок		сѣдокъ	 
 	седоусый		сѣдоусый	 
 	Седьмиградская		Седьмиградская	 
 	седьмое		седьмое	 
 	седьмого		седьмого	 
 	седьмой		седьмой, седьмого	 
 	седые		сѣдые, сѣдыя	 
 	седым		сѣдымъ, сѣдыхъ, сѣдыми	 
 	сеево		сѣево	 
 	сеет		сѣетъ, сѣютъ, сѣйте, сѣешь, сѣемъ	 
 	сезам		сезамъ	 
 	сезон		сезонъ, въ сезонѣ	 
 	сезонное		сезонное	 
 	сезонные		сезонные, сезонныя	 
 	Сезострис		Сезострисъ	 
 	сей		сей, сего, сему, симъ, о сёмъ — м. р.	 
 	сей		о сей — ж. р. сія	 
 	сей		сей — ж. р. сія	 
 	сей		сѣй	 
 	сейм		сеймъ	 
 	Сейм		Сеймъ	 
 	Сеймур		Сеймуръ	 
 	Сейны		Сейны	 
 	сейсмический		сейсмическій	 
 	сейсмометр		сейсмометръ	 
 	сейте		сѣйте, сѣйтесь, сѣйся	 
 	сейф		сейфъ, въ сейфѣ, сейфовый	 
 	сейчас		сейчасъ и сей-часъ	 
 	Сейшельские		Сешельскіе	 
 	секанс		секансъ	 
 	секатор		сѣкаторъ	 
 	секвенция		секвенція	 
 	секвестирование		секвестированіе	 
 	секвестр		секвестръ	 
 	секвойя		секвойя	 
 	секира		сѣкира	 
 	секография		секографія	 
 	секрет		секретъ, въ секретѣ	 
 	секретарша		секретарша, секретаршей, о секретаршѣ	 
 	секретарь		секретарь, секретарёмъ, о секретарѣ	 
 	секретер		секретеръ, въ секретерѣ	 
 	секретнее		секретнѣе, секретнѣйшій	 
 	секретник		секретникъ, секретница, секретницей	 
